상품번호,상품명,최소인원,교통편,지
64,[북해도골프]특급 리조트 니세코 힐튼 온천골프 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
63,[북해도골프]일본 석수정 료칸 여름 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
62,[북해도 골프]일본 대규모 온천 골프여행 3박4일 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
61,[북해도 골프]일본 명문 골프장 기타히로시마 천연온천 호텔,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
60,[삿포로 골프]일본 시내 가성비 여름 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
59,[심양] 여름골프! 한랭건조한 심양 태자하C.C,2인,항공 포함,인천 / 김해 
58,[삿포로골프]일본 골프여행 시내 JAL시티호텔 2박3일 기준,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
57,[북해도] 일본 여름 골프여행 루스츠 리조트 2박3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
56,[미야자키]일본 치란 CC 18H 이브스키 백수관,2인,불포함|자유항공|항공포함요금,인천 
55,[럭셔리 호캉스] 오키나와 카누챠 리조트 프라이빗 빌라 & 골프 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
54,[치앙마이]태국 가성비 3색 골프 가싼 쿤탄CC 가싼 레가시CC 가싼 파노라마CC,2인,항공 포함|자유항공,인천 / 김해 / 청주
53,[파타야] 태국 3색 실속/명품/VIP 택1,2인,항공 포함|자유항공,인천 
51,[중국] 하이난 해구 미란C.C,2인,항공 포함,인천 
50,[베트남] 달랏 골프 3곳 라운딩,2인,항공 포함|자유항공,인천 
49,[광저우] 사자호C.C 쉐라톤호텔,2인,항공 포함,인천 / 김해 
48,"[타이페이] VIP 3색 양승,대계,미려화C.C",2인,항공 포함,인천 / 김해 / 청주
47,[카오야이]태국 써제임스 3색 란초찬비CC 키리마야CC,2인,항공 포함,인천 
46,[히로시마] 일본 에어포트 3색 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
45,[베트남] 나트랑 시내3색 빈펄C.C / 다이아몬드베이 / KN,2인,항공 포함|자유항공,인천 / 김해 / 청주
44,[파타야] 태국 뿌딸루앙 골프텔 매일정 36홀 가성비최고,2인,항공 포함|자유항공,인천 / 김해 / 청주
43,[아유타야] 태국 시내3색 36홀 아유타야/노턴랑싯/방사이C.C,2인,항공 포함|자유항공,김해 
42,"[하이난] 삼아 럭셔리 3색 해중해,녹회두,드래곤밸리C.C",2인,항공 포함,인천 
40,[코랄오션]사이판 코랄 오션 전 객실 오션뷰 공항 근접,2인,항공 포함,인천 
39,[코타키나발루] 보르네오C.C 골프텔,2인,항공 포함,인천 
38,[가고시마] 쉐라톤 호텔 + 2색 골프,2인,불포함|자유항공|항공포함요금,인천 
37,[가고시마]일본 사츠마 CC 골프 온천 여행 패키지,2인,불포함|자유항공|항공포함요금,김해 
36,[하이난골프]부산출발 명문 골프장 페닌슐라CC,2인,항공 포함,김해 
